# Formato: pregunta|respuesta|opcion1|opcion2|opcion3|dificultad
# dificultad: easy, medium, hard, ultra
¿Cuántos Pokémon existen en la primera generación?|151|150|152|140|easy
¿De qué tipo es Pikachu?|Eléctrico|Fuego|Agua|Normal|easy
¿Cuál es el Pokémon N°1 en la Pokédex Nacional?|Bulbasaur|Charmander|Squirtle|Caterpie|easy
¿Cómo se llama el rival del jugador en Pokémon Rojo/Azul?|Gary|Ash|Brock|Misty|easy
¿Qué tipo tiene ventaja sobre el tipo Fuego?|Agua|Planta|Roca|Hielo|easy
¿Cuál es la evolución final de Charmander?|Charizard|Charmeleon|Arcanine|Rapidash|easy
¿Cuántas evoluciones tiene Eevee en la primera generación?|3|4|5|2|easy
¿Qué objeto hace evolucionar a Pikachu?|Piedra Trueno|Piedra Agua|Piedra Fuego|Piedra Luna|easy
¿Cuál es el Pokémon legendario de Pokémon Rojo?|Articuno|Zapdos|Moltres|Mewtwo|easy
¿Cómo se llama el entrenador de Pokémon principal de Kanto?|Ash|Gary|Red|Blue|easy
¿De qué tipo es Gengar?|Fantasma y Veneno|Oscuro y Veneno|Psíquico y Fantasma|Normal y Veneno|medium
¿Cuál es el Pokémon más pesado de gen 1?|Snorlax|Onix|Golem|Slowbro|medium
¿Qué habilidad tiene Intimidate?|Baja el Ataque del rival|Sube el propio Ataque|Baja la Defensa del rival|Inmoviliza al rival|medium
¿Cuántos insignias hay que ganar en Kanto?|8|7|10|6|easy
¿Qué tipo es Clefairy?|Normal|Hada|Psíquico|Volador|easy
¿Qué Pokémon es conocido como el Pokémon Dormilón?|Snorlax|Slowpoke|Jigglypuff|Drowzee|easy
¿Cuál es la evolución de Magikarp?|Gyarados|Gyaros|Dragonite|Dratini|easy
¿Qué tipo tiene ventaja sobre el tipo Agua?|Eléctrico|Fuego|Tierra|Roca|easy
¿Cómo se llama la ciudad inicial de Kanto?|Pueblo Paleta|Villa Raíz|Ciudad Azulona|Ciudad Verde|easy
¿Cuál es el Pokémon con más HP base en gen 1?|Chansey|Snorlax|Blissey|Lapras|medium
¿Qué movimiento tiene la mayor potencia base en gen 1?|Explosión|Rayo Hidrante|Llamarada|Rayo|medium
¿Cuántos movimientos puede aprender un Pokémon a la vez?|4|5|3|6|easy
¿De qué tipo es Lapras?|Agua y Hielo|Agua y Psíquico|Agua y Normal|Hielo y Normal|medium
¿Cuál es el único Pokémon tipo Dragón en gen 1?|Dragonite|Charizard|Aerodactyl|Gyarados|medium
¿Qué Pokémon es el guardián del Lago de la Ira?|Uxie|Azelf|Mesprit|Cresselia|hard
¿Cuántos Pokémon tiene la segunda generación?|100|106|110|96|medium
¿Cuál es el starter de tipo Agua de Johto?|Totodile|Chikorita|Cyndaquil|Marill|easy
¿Qué evolución legendaria no existe: Johto?|Celebi es legendary solo|Lugia|Ho-Oh|Entei|medium
¿Cuál es el Pokémon mítico introducido en gen 2?|Celebi|Mew|Jirachi|Shaymin|medium
¿Cuántas regiones existen en los juegos principales hasta gen 8?|8|7|9|6|medium
